,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
50,Barcelona,H - Granada,2012-09-22,La Liga,W 2-0,Started,0.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0
49,Barcelona,A - Sevilla,2012-09-29,La Liga,W 2-3,Sub-Off 69 min,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
48,Barcelona,A - Benfica,2012-10-02,UCL,W 0-2,Started,1.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0
47,Barcelona,H - Real Madrid,2012-10-07,La Liga,D 2-2,Sub-On 61 min,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
68,Chile,A - Ecuador,2012-10-12,WCQ,L 3-1,Started,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
46,Chile,A - Ecuador,2012-10-12,WCQ,L 3-1,Started,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
45,Chile,H - Argentina,2012-10-16,WCQ,L 1-2,Started,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44,Barcelona,A - Deportivo,2012-10-20,La Liga,W 4-5,Unused Substitute,,,,,,,,
43,Barcelona,H - Celtic,2012-10-23,UCL,W 2-1,Sub-Off 79 min,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0
42,Barcelona,A - Rayo,2012-10-27,La Liga,W 0-5,Sub-On 62 min,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
41,Barcelona,A - Alavés,2012-10-30,Esp Cup,W 0-3,Started,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Barcelona,H - Celta Vigo,2012-11-03,La Liga,W 3-1,Sub-On 77 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,Barcelona,A - Celtic,2012-11-07,UCL,L 2-1,Sub-Off 64 min,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0
38,Barcelona,A - Mallorca,2012-11-11,La Liga,W 2-4,Sub-On 65 min,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
37,Chile,H - Serbia,2012-11-14,Int,L 1-3,Sub-Off 20 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Barcelona,A - Betis,2012-12-09,La Liga,W 1-2,Sub-On 9 min,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0
35,Barcelona,A - Cordoba,2012-12-12,Esp Cup,W 0-2,Sub-On 66 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Barcelona,H - Atletico,2012-12-16,La Liga,W 4-1,Sub-Off 74 min,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
33,Barcelona,A - Valladolid,2012-12-22,La Liga,W 1-3,Sub-Off 76 min,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
32,Barcelona,H - Espanyol,2013-01-06,La Liga,W 4-0,Sub-On 74 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Barcelona,H - Cordoba,2013-01-10,Esp Cup,W 5-0,Started,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Barcelona,A - Málaga,2013-01-13,La Liga,W 1-3,Sub-On 77 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,Barcelona,H - Málaga,2013-01-16,Esp Cup,D 2-2,Sub-Off 74 min,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28,Barcelona,A - R Sociedad,2013-01-19,La Liga,L 3-2,Unused Substitute,,,,,,,,
27,Barcelona,A - Málaga,2013-01-24,Esp Cup,W 2-4,Sub-On 87 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Barcelona,H - Osasuna,2013-01-27,La Liga,W 5-1,Sub-On 60 min,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
25,Barcelona,A - Real Madrid,2013-01-30,Esp Cup,D 1-1,Sub-On 76 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Barcelona,A - Valencia,2013-02-03,La Liga,D 1-1,Unused Substitute,,,,,,,,
23,Barcelona,H - Getafe,2013-02-10,La Liga,W 6-1,Sub-Off 72 min,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
22,Barcelona,A - Granada,2013-02-16,La Liga,W 1-2,Sub-Off 60 min,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
21,Barcelona,A - Milan,2013-02-20,UCL,L 2-0,Sub-On 61 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20,Barcelona,H - Sevilla,2013-02-23,La Liga,W 2-1,Sub-Off 45 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,Barcelona,A - Real Madrid,2013-03-02,La Liga,L 2-1,Sub-On 66 min,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
18,Barcelona,H - Deportivo,2013-03-09,La Liga,W 2-0,Started,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0
17,Barcelona,H - Milan,2013-03-12,UCL,W 4-0,Sub-On 74 min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Barcelona,H - Rayo,2013-03-17,La Liga,W 3-1,Started,0.0,0.0,2.0,1.0,3.0,7.0,0.0,0.0
15,Chile,A - Peru,2013-03-22,WCQ,L 1-0,Started,0.0,0.0,2.0,1.0,2.0,6.0,1.0,0.0
67,Chile,A - Peru,2013-03-22,WCQ,L 1-0,Started,0.0,0.0,2.0,1.0,2.0,6.0,1.0,0.0
14,Barcelona,A - Celta Vigo,2013-03-30,La Liga,D 2-2,Sub-Off 67 min,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0
13,Barcelona,A - PSG,2013-04-02,UCL,D 2-2,Started,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0
12,Barcelona,H - Mallorca,2013-04-06,La Liga,W 5-0,Started,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0
11,Barcelona,H - PSG,2013-04-10,UCL,D 1-1,Unused Substitute,,,,,,,,
10,Barcelona,A - R Zaragoza,2013-04-14,La Liga,W 0-3,Started,0.0,1.0,3.0,2.0,2.0,4.0,1.0,0.0
9,Barcelona,H - Levante,2013-04-20,La Liga,W 1-0,Sub-On 76 min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Barcelona,A - Bayern,2013-04-23,UCL,L 4-0,Started,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
7,Barcelona,A - Athletic,2013-04-27,La Liga,D 2-2,Sub-Off 77 min,1.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0
6,Barcelona,H - Bayern,2013-05-01,UCL,L 0-3,Sub-On 54 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Barcelona,H - Betis,2013-05-05,La Liga,W 4-2,Sub-Off 78 min,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
4,Barcelona,A - Atletico,2013-05-12,La Liga,W 1-2,Started,1.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0
3,Barcelona,H - Valladolid,2013-05-19,La Liga,W 2-1,Unused Substitute,,,,,,,,
2,Barcelona,A - Espanyol,2013-05-26,La Liga,W 0-2,Sub-Off 83 min,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0
1,Barcelona,H - Málaga,2013-06-01,La Liga,W 4-1,Sub-On 77 min,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
66,Chile,A - Paraguay,2013-06-07,WCQ,W 1-2,Sub-Off 90 min,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0
0,Chile,A - Paraguay,2013-06-07,WCQ,W 1-2,Sub-Off 90 min,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0
65,Chile,H - Bolivia,2013-06-11,WCQ,W 3-1,Started,1.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0
64,Barcelona,H - Levante,2013-08-18,La Liga,W 7-0,Sub-Off 63 min,1.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0
63,Barcelona,A - Atletico,2013-08-21,Sup Cup,D 1-1,Started,0.0,0.0,2.0,2.0,2.0,5.0,0.0,0.0
62,Barcelona,A - Málaga,2013-08-25,La Liga,W 0-1,Started,0.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0
61,Barcelona,H - Atletico,2013-08-28,Sup Cup,D 0-0,Sub-Off 64 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,Chile,H - Venezuela,2013-09-06,WCQ,W 3-0,Started,0.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0
