,Team,Opponent,Date,Competition,Result,Appearance,Goals,Assists,Shots,Shots on Goal,Fouls Committed,Fouls Suffered,Yellow Cards,Red Cards
85,Barcelona,H - Atletico,2012-12-16,La Liga,W 4-1,Sub-Off 74 min,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
86,Barcelona,A - Valladolid,2012-12-22,La Liga,W 1-3,Sub-Off 76 min,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
87,Barcelona,H - Espanyol,2013-01-06,La Liga,W 4-0,Sub-On 74 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Barcelona,H - Cordoba,2013-01-10,Esp Cup,W 5-0,Started,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Barcelona,A - Málaga,2013-01-13,La Liga,W 1-3,Sub-On 77 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,Barcelona,H - Málaga,2013-01-16,Esp Cup,D 2-2,Sub-Off 74 min,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92,Barcelona,A - Málaga,2013-01-24,Esp Cup,W 2-4,Sub-On 87 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Barcelona,H - Osasuna,2013-01-27,La Liga,W 5-1,Sub-On 60 min,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
94,Barcelona,A - Real Madrid,2013-01-30,Esp Cup,D 1-1,Sub-On 76 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Barcelona,H - Getafe,2013-02-10,La Liga,W 6-1,Sub-Off 72 min,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0
97,Barcelona,A - Granada,2013-02-16,La Liga,W 1-2,Sub-Off 60 min,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
98,Barcelona,A - Milan,2013-02-20,UCL,L 2-0,Sub-On 61 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,Barcelona,H - Sevilla,2013-02-23,La Liga,W 2-1,Sub-Off 45 min,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
100,Barcelona,A - Real Madrid,2013-03-02,La Liga,L 2-1,Sub-On 66 min,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
101,Barcelona,H - Deportivo,2013-03-09,La Liga,W 2-0,Started,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0
102,Barcelona,H - Milan,2013-03-12,UCL,W 4-0,Sub-On 74 min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Barcelona,H - Rayo,2013-03-17,La Liga,W 3-1,Started,0.0,0.0,2.0,1.0,3.0,7.0,0.0,0.0
104,Chile,A - Peru,2013-03-22,WCQ,L 1-0,Started,0.0,0.0,2.0,1.0,2.0,6.0,1.0,0.0
105,Chile,A - Peru,2013-03-22,WCQ,L 1-0,Started,0.0,0.0,2.0,1.0,2.0,6.0,1.0,0.0
106,Barcelona,A - Celta Vigo,2013-03-30,La Liga,D 2-2,Sub-Off 67 min,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0
107,Barcelona,A - PSG,2013-04-02,UCL,D 2-2,Started,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0
108,Barcelona,H - Mallorca,2013-04-06,La Liga,W 5-0,Started,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0
110,Barcelona,A - R Zaragoza,2013-04-14,La Liga,W 0-3,Started,0.0,1.0,3.0,2.0,2.0,4.0,1.0,0.0
111,Barcelona,H - Levante,2013-04-20,La Liga,W 1-0,Sub-On 76 min,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,Barcelona,A - Bayern,2013-04-23,UCL,L 4-0,Started,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
113,Barcelona,A - Athletic,2013-04-27,La Liga,D 2-2,Sub-Off 77 min,1.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0
114,Barcelona,H - Bayern,2013-05-01,UCL,L 0-3,Sub-On 54 min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Barcelona,H - Betis,2013-05-05,La Liga,W 4-2,Sub-Off 78 min,1.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
116,Barcelona,A - Atletico,2013-05-12,La Liga,W 1-2,Started,1.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0
118,Barcelona,A - Espanyol,2013-05-26,La Liga,W 0-2,Sub-Off 83 min,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0
119,Barcelona,H - Málaga,2013-06-01,La Liga,W 4-1,Sub-On 77 min,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
120,Chile,A - Paraguay,2013-06-07,WCQ,W 1-2,Sub-Off 90 min,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0
121,Chile,A - Paraguay,2013-06-07,WCQ,W 1-2,Sub-Off 90 min,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0
122,Chile,H - Bolivia,2013-06-11,WCQ,W 3-1,Started,1.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0
123,Barcelona,H - Levante,2013-08-18,La Liga,W 7-0,Sub-Off 63 min,1.0,0.0,2.0,1.0,2.0,4.0,0.0,0.0
124,Barcelona,A - Atletico,2013-08-21,Sup Cup,D 1-1,Started,0.0,0.0,2.0,2.0,2.0,5.0,0.0,0.0
125,Barcelona,A - Málaga,2013-08-25,La Liga,W 0-1,Started,0.0,1.0,1.0,1.0,2.0,5.0,1.0,0.0
126,Barcelona,H - Atletico,2013-08-28,Sup Cup,D 0-0,Sub-Off 64 min,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
127,Chile,H - Venezuela,2013-09-06,WCQ,W 3-0,Started,0.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0
128,Chile,A - Spain,2013-09-10,Int,D 2-2,Sub-Off 90 min,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
